                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2187,                 1.5152,                 1.3598,                 0.0568,                0.68898,                0.05058,                0.02781,                 1.4093,                 55.762,                 2.6336,             0.00065686,             0.00065686,             0.00065686
                      2,                   1.29,                 1.1825,                 1.4191,                0.01509,                0.66535,                0.01251,                0.00626,                 1.8678,                    inf,                 4.2332,              0.0013148,              0.0013148,              0.0013148
                      3,                 1.3757,                 1.2007,                 1.4578,                0.46401,                0.51575,                0.40187,                 0.2045,                  1.749,                 4.5533,                 1.9658,              0.0019639,              0.0019639,              0.0019639
                      4,                  1.309,                 1.1153,                 1.4135,                0.00629,                0.51575,                0.00492,                0.00271,                 1.9337,                    inf,                 2.1819,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.2446,                 1.0119,                 1.3591,                0.68423,                0.66969,                0.69632,                0.43736,                 1.1548,                 1.3951,                 1.4329,              0.0019472,              0.0019472,              0.0019472
                      6,                 1.2263,                 1.0117,                 1.3718,                0.86804,                0.84252,                0.89227,                0.57867,                 1.1209,                 1.1381,                 1.4003,               0.001934,               0.001934,               0.001934
                      7,                 1.1851,                0.95103,                 1.3497,                 0.7754,                0.78156,                0.83449,                0.58104,                 1.0651,                 1.5616,                 1.3166,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.1023,                0.87761,                 1.2945,                 0.8672,                0.88583,                0.92101,                0.60775,                 1.0805,                 0.8571,                 1.3779,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.0892,                0.83656,                 1.2581,                0.88542,                0.77756,                0.87927,                0.60085,                 1.1166,                  0.978,                   1.32,              0.0018944,              0.0018944,              0.0018944
                     10,                 1.0788,                0.83247,                 1.2496,                0.90041,                0.87211,                0.92758,                0.65349,                0.98492,                0.87461,                 1.2691,              0.0018812,              0.0018812,              0.0018812
                     11,                 1.0202,                0.76424,                 1.2298,                0.92952,                0.90862,                0.94384,                0.68483,                0.93584,                0.67046,                 1.2407,               0.001868,               0.001868,               0.001868
